--------------- LD decay ---------------

No. marker pairs
--------------------
Bin\Gen.              0             10 
[0,.05)            1442           1366 
[.05,.1)           1464           1396 
[.1,.2)            2887           2739 
[.2,.3)            2836           2701 
[.3,.4)            2861           2702 
[.4,.5)            2830           2702 
[.5,.6)            2931           2774 
[.6,.7)            2832           2718 
[.7,.8)            2928           2791 
[.8,.9)            2799           2663 
[.9,1)             2756           2601 
[1,2)             28095          26676 
[2,3)             27737          26271 
[3,4)             27461          26110 
[4,5)             27378          26007 

Mean D'(SD)
--------------------
Bin\Gen.              0             10 
[0,.05)  0.6078(0.3332) 0.6529(0.3355) 
[.05,.1) 0.5743(0.3322) 0.6138(0.3413) 
[.1,.2)  0.5739(0.3264) 0.6224(0.3332) 
[.2,.3)  0.5444(0.3189) 0.6002(0.3273) 
[.3,.4)  0.5298(0.3162) 0.5834(0.3233) 
[.4,.5)  0.5134(0.3094) 0.5581(0.3245) 
[.5,.6)  0.4932(0.3020) 0.5481(0.3194) 
[.6,.7)  0.4740(0.2980) 0.5264(0.3172) 
[.7,.8)  0.4758(0.2980) 0.5267(0.3212) 
[.8,.9)  0.4482(0.2917) 0.5039(0.3160) 
[.9,1)   0.4396(0.2908) 0.4957(0.3095) 
[1,2)    0.3806(0.2657) 0.4472(0.2955) 
[2,3)    0.3118(0.2342) 0.3913(0.2763) 
[3,4)    0.2709(0.2122) 0.3600(0.2627) 
[4,5)    0.2399(0.1948) 0.3350(0.2494) 

Mean R2(SD)
--------------------
Bin\Gen.              0             10 
[0,.05)  0.2057(0.2241) 0.2387(0.2462) 
[.05,.1) 0.1868(0.2101) 0.2086(0.2311) 
[.1,.2)  0.1789(0.1982) 0.2051(0.2206) 
[.2,.3)  0.1616(0.1822) 0.1887(0.2049) 
[.3,.4)  0.1535(0.1726) 0.1772(0.1952) 
[.4,.5)  0.1441(0.1656) 0.1670(0.1897) 
[.5,.6)  0.1349(0.1572) 0.1626(0.1838) 
[.6,.7)  0.1220(0.1453) 0.1452(0.1681) 
[.7,.8)  0.1155(0.1314) 0.1389(0.1570) 
[.8,.9)  0.1074(0.1285) 0.1289(0.1514) 
[.9,1)   0.1022(0.1233) 0.1272(0.1502) 
[1,2)    0.0753(0.0953) 0.0991(0.1203) 
[2,3)    0.0484(0.0630) 0.0733(0.0930) 
[3,4)    0.0352(0.0459) 0.0593(0.0758) 
[4,5)    0.0277(0.0374) 0.0512(0.0663) 

Mean X2'(SD)
--------------------
Bin\Gen.              0             10 
[0,.05)  0.2057(0.2241) 0.2387(0.2462) 
[.05,.1) 0.1868(0.2101) 0.2086(0.2311) 
[.1,.2)  0.1789(0.1982) 0.2051(0.2206) 
[.2,.3)  0.1616(0.1822) 0.1887(0.2049) 
[.3,.4)  0.1535(0.1726) 0.1772(0.1952) 
[.4,.5)  0.1441(0.1656) 0.1670(0.1897) 
[.5,.6)  0.1349(0.1572) 0.1626(0.1838) 
[.6,.7)  0.1220(0.1453) 0.1452(0.1681) 
[.7,.8)  0.1155(0.1314) 0.1389(0.1570) 
[.8,.9)  0.1074(0.1285) 0.1289(0.1514) 
[.9,1)   0.1022(0.1233) 0.1272(0.1502) 
[1,2)    0.0753(0.0953) 0.0991(0.1203) 
[2,3)    0.0484(0.0630) 0.0733(0.0930) 
[3,4)    0.0352(0.0459) 0.0593(0.0758) 
[4,5)    0.0277(0.0374) 0.0512(0.0663) 
