ID          Chr   Input_Pos    Male_Map  Female_Map
M1           1     0.18802     0.18802     0.23503
M2           1     0.61851     0.61851     0.77314
M3           1     1.69790     1.69790     2.12237
M4           1     2.01831     2.01831     2.52289
M5           1     2.07522     2.07522     2.59403
M6           1     2.14695     2.14695     2.68369
M7           1     2.87173     2.87173     3.58966
M8           1     2.89167     2.89167     3.61459
M9           1     3.31456     3.31456     4.14320
M10          1     3.36410     3.36410     4.20512
M11          1     3.55750     3.55750     4.44688
M12          1     3.75943     3.75943     4.69929
M13          1     3.84129     3.84129     4.80161
M14          1     4.21014     4.21014     5.26267
M15          1     4.69422     4.69422     5.86777
M16          1     4.80413     4.80413     6.00516
M17          1     5.11833     5.11833     6.39791
M18          1     5.27793     5.27793     6.59741
M19          1     5.46882     5.46882     6.83603
M20          1     6.04837     6.04837     7.56046
M21          1     6.13193     6.13193     7.66491
M22          1     7.31010     7.31010     9.13762
M23          1     7.38254     7.38254     9.22818
M24          1     7.87632     7.87632     9.84540
M25          1     8.10230     8.10230    10.12787
M26          1     8.42950     8.42950    10.53687
M27          1     8.76827     8.76827    10.96034
M28          1     8.88660     8.88660    11.10825
M29          1     8.92275     8.92275    11.15344
M30          1     8.98306     8.98306    11.22883
M31          1     9.03490     9.03490    11.29363
M32          1     9.55142     9.55142    11.93928
M33          1     9.56657     9.56657    11.95821
M34          1     9.86873     9.86873    12.33591
M35          1     9.90762     9.90762    12.38453
M36          1    10.46520    10.46520    13.08150
M37          1    10.60594    10.60594    13.25743
M38          1    10.69035    10.69035    13.36294
M39          1    10.81037    10.81037    13.51296
M40          1    10.86033    10.86033    13.57541
M41          1    10.95173    10.95173    13.68966
M42          1    11.21782    11.21782    14.02228
M43          1    11.78740    11.78740    14.73425
M44          1    11.90864    11.90864    14.88580
M45          1    12.71766    12.71766    15.89708
M46          1    12.80191    12.80191    16.00239
M47          1    13.75366    13.75366    17.19207
M48          1    13.75687    13.75687    17.19609
M49          1    13.81618    13.81618    17.27022
M50          1    13.88905    13.88905    17.36131
M51          1    14.67087    14.67087    18.33859
M52          1    14.72701    14.72701    18.40876
M53          1    14.73435    14.73435    18.41794
M54          1    14.83252    14.83252    18.54065
M55          1    14.83378    14.83378    18.54222
M56          1    16.39247    16.39247    20.49059
M57          1    16.58748    16.58748    20.73435
M58          1    17.73354    17.73354    22.16692
M59          1    17.88375    17.88375    22.35469
M60          1    18.38402    18.38402    22.98002
M61          1    18.52674    18.52674    23.15843
M62          1    18.71571    18.71571    23.39464
M63          1    18.81014    18.81014    23.51268
M64          1    19.22437    19.22437    24.03046
M65          1    19.48819    19.48819    24.36024
M66          1    19.69644    19.69644    24.62055
M67          1    19.71063    19.71063    24.63829
M68          1    20.32931    20.32931    25.41164
M69          1    20.40908    20.40908    25.51135
M70          1    20.96585    20.96585    26.20731
M71          1    21.27612    21.27612    26.59515
M72          1    21.32292    21.32292    26.65365
M73          1    21.55192    21.55192    26.93990
M74          1    22.79335    22.79335    28.49169
M75          1    23.70585    23.70585    29.63231
M76          1    23.81598    23.81598    29.76997
M77          1    23.95213    23.95213    29.94016
M78          1    24.04058    24.04058    30.05072
M79          1    24.08095    24.08095    30.10119
M80          1    24.51209    24.51209    30.64011
M81          1    24.54084    24.54084    30.67605
M82          1    24.80910    24.80910    31.01138
M83          1    24.81928    24.81928    31.02410
M84          1    24.88477    24.88477    31.10596
M85          1    24.89129    24.89129    31.11411
M86          1    24.94630    24.94630    31.18288
M87          1    25.13810    25.13810    31.42262
M88          1    25.41965    25.41965    31.77456
M89          1    25.65506    25.65506    32.06882
M90          1    26.52706    26.52706    33.15883
M91          1    26.98725    26.98725    33.73406
M92          1    27.11168    27.11168    33.88960
M93          1    27.38158    27.38158    34.22697
M94          1    27.44781    27.44781    34.30976
M95          1    28.19473    28.19473    35.24341
M96          1    28.21920    28.21920    35.27400
M97          1    28.49809    28.49809    35.62261
M98          1    29.10878    29.10878    36.38598
M99          1    29.21380    29.21380    36.51725
M100         1    29.25990    29.25990    36.57487
M101         1    29.27809    29.27809    36.59761
M102         1    29.40278    29.40278    36.75348
M103         1    29.74213    29.74213    37.17766
M104         1    29.75083    29.75083    37.18854
M105         1    30.00144    30.00144    37.50180
M106         1    30.08901    30.08901    37.61126
M107         1    30.46289    30.46289    38.07861
M108         1    30.52468    30.52468    38.15585
M109         1    30.54230    30.54230    38.17788
M110         1    30.54470    30.54470    38.18088
M111         1    31.18789    31.18789    38.98486
M112         1    31.25828    31.25828    39.07285
M113         1    31.48361    31.48361    39.35451
M114         1    31.76566    31.76566    39.70708
M115         1    32.03848    32.03848    40.04810
M116         1    32.13646    32.13646    40.17058
M117         1    32.28899    32.28899    40.36124
M118         1    33.19154    33.19154    41.48943
M119         1    33.49815    33.49815    41.87269
M120         1    33.84668    33.84668    42.30835
M121         1    33.84983    33.84983    42.31229
M122         1    33.95954    33.95954    42.44943
M123         1    34.21549    34.21549    42.76936
M124         1    34.27779    34.27779    42.84724
M125         1    34.33014    34.33014    42.91268
M126         1    34.36166    34.36166    42.95208
M127         1    34.78247    34.78247    43.47809
M128         1    35.09807    35.09807    43.87259
M129         1    35.36552    35.36552    44.20690
M130         1    35.53540    35.53540    44.41925
M131         1    36.07712    36.07712    45.09640
M132         1    36.24862    36.24862    45.31078
M133         1    36.33600    36.33600    45.42000
M134         1    36.51036    36.51036    45.63795
M135         1    37.12199    37.12199    46.40249
M136         1    37.34403    37.34403    46.68004
M137         1    37.37685    37.37685    46.72106
M138         1    37.74626    37.74626    47.18283
M139         1    37.78350    37.78350    47.22938
M140         1    37.90896    37.90896    47.38620
M141         1    38.13078    38.13078    47.66348
M142         1    38.14851    38.14851    47.68564
M143         1    38.19939    38.19939    47.74924
M144         1    38.53612    38.53612    48.17015
M145         1    38.68228    38.68228    48.35285
M146         1    38.89409    38.89409    48.61761
M147         1    38.90883    38.90883    48.63604
M148         1    40.12181    40.12181    50.15226
M149         1    40.18956    40.18956    50.23695
M150         1    40.40092    40.40092    50.50115
M151         1    40.45116    40.45116    50.56395
M152         1    40.55413    40.55413    50.69266
M153         1    41.12274    41.12274    51.40342
M154         1    41.19796    41.19796    51.49745
M155         1    42.04299    42.04299    52.55374
M156         1    42.45377    42.45377    53.06721
M157         1    42.94261    42.94261    53.67826
M158         1    44.00108    44.00108    55.00135
M159         1    44.02007    44.02007    55.02509
M160         1    44.44949    44.44949    55.56186
M161         1    44.55090    44.55090    55.68863
M162         1    45.42469    45.42469    56.78086
M163         1    45.58812    45.58812    56.98515
M164         1    45.85830    45.85830    57.32287
M165         1    46.97779    46.97779    58.72224
M166         1    47.06702    47.06702    58.83378
M167         1    47.67887    47.67887    59.59859
M168         1    47.95244    47.95244    59.94055
M169         1    48.06689    48.06689    60.08361
M170         1    48.22066    48.22066    60.27583
M171         1    48.78329    48.78329    60.97911
M172         1    48.88962    48.88962    61.11203
M173         1    49.29384    49.29384    61.61730
M174         1    50.05319    50.05319    62.56649
M175         1    50.81863    50.81863    63.52329
M176         1    50.89920    50.89920    63.62400
M177         1    50.91031    50.91031    63.63789
M178         1    51.17119    51.17119    63.96399
M179         1    51.47852    51.47852    64.34815
M180         1    51.68888    51.68888    64.61110
M181         1    51.79066    51.79066    64.73833
M182         1    52.00767    52.00767    65.00959
M183         1    52.62658    52.62658    65.78323
M184         1    54.13116    54.13116    67.66395
M185         1    54.43759    54.43759    68.04699
