ID          Chr   Input_Pos    Male_Map  Female_Map
M1           1     0.17548     0.17548     0.21935
M2           1     0.35676     0.35676     0.44595
M3           1     0.39130     0.39130     0.48913
M4           1     0.84669     0.84669     1.05836
M5           1     0.99058     0.99058     1.23822
M6           1     1.50967     1.50967     1.88709
M7           1     1.81221     1.81221     2.26526
M8           1     1.88600     1.88600     2.35750
M9           1     1.90914     1.90914     2.38643
M10          1     1.98135     1.98135     2.47669
M11          1     2.25497     2.25497     2.81871
M12          1     2.35161     2.35161     2.93951
M13          1     2.62949     2.62949     3.28686
M14          1     2.65993     2.65993     3.32491
M15          1     2.78507     2.78507     3.48134
M16          1     3.47298     3.47298     4.34123
M17          1     3.55197     3.55197     4.43996
M18          1     3.77578     3.77578     4.71973
M19          1     3.96319     3.96319     4.95399
M20          1     4.86786     4.86786     6.08482
M21          1     5.17724     5.17724     6.47155
M22          1     5.19345     5.19345     6.49181
M23          1     5.77533     5.77533     7.21916
M24          1     6.03586     6.03586     7.54482
M25          1     6.36167     6.36167     7.95209
M26          1     6.47145     6.47145     8.08931
M27          1     6.60151     6.60151     8.25189
M28          1     7.61289     7.61289     9.51611
M29          1     7.70406     7.70406     9.63007
M30          1     7.77285     7.77285     9.71606
M31          1     7.91305     7.91305     9.89131
M32          1     7.99042     7.99042     9.98802
M33          1     8.36481     8.36481    10.45601
M34          1     8.63971     8.63971    10.79964
M35          1     8.65847     8.65847    10.82309
M36          1     8.79444     8.79444    10.99305
M37          1     8.95956     8.95956    11.19945
M38          1     9.08222     9.08222    11.35277
M39          1     9.48666     9.48666    11.85832
M40          1     9.49353     9.49353    11.86691
M41          1     9.94552     9.94552    12.43190
M42          1    10.03558    10.03558    12.54447
M43          1    10.18242    10.18242    12.72803
M44          1    10.38555    10.38555    12.98194
M45          1    10.57949    10.57949    13.22436
M46          1    10.74680    10.74680    13.43350
M47          1    10.82245    10.82245    13.52806
M48          1    11.24518    11.24518    14.05647
M49          1    11.49832    11.49832    14.37290
M50          1    11.51369    11.51369    14.39211
M51          1    11.88747    11.88747    14.85934
M52          1    11.94801    11.94801    14.93501
M53          1    12.06042    12.06042    15.07552
M54          1    12.24371    12.24371    15.30464
M55          1    12.29898    12.29898    15.37373
M56          1    12.93132    12.93132    16.16415
