ID          Chr    Position
M1           1     0.00505
M2           1     0.08553
M3           1     0.53140
M4           1     0.66200
M5           1     0.68016
M6           1     1.12402
M7           1     1.17301
M8           1     2.00114
M9           1     2.22218
M10          1     2.45120
M11          1     2.48607
M12          1     2.50430
M13          1     2.61596
M14          1     2.80061
M15          1     3.21203
M16          1     3.40740
M17          1     3.58134
M18          1     4.00703
M19          1     4.59492
M20          1     5.17167
M21          1     5.56696
M22          1     5.60169
M23          1     5.77392
M24          1     5.77521
M25          1     6.40066
M26          1     6.60125
M27          1     6.72096
M28          1     6.73746
M29          1     6.74603
M30          1     6.76003
M31          1     6.78863
M32          1     7.29315
M33          1     7.38242
M34          1     7.42122
M35          1     7.82846
M36          1     8.00560
M37          1     8.40707
M38          1     8.44238
M39          1     9.66371
M40          1     9.94461
M41          1    10.45123
M42          1    10.70218
M43          1    10.77389
M44          1    10.83889
M45          1    11.33855
M46          1    11.61803
M47          1    11.76246
M48          1    11.90022
M49          1    11.99879
M50          1    13.08210
M51          1    13.15719
M52          1    13.23187
M53          1    13.26513
M54          1    13.34712
M55          1    13.45575
M56          1    13.51366
M57          1    13.52798
M58          1    13.56946
M59          1    13.73411
M60          1    13.80203
M61          1    14.49326
M62          1    14.93157
M63          1    15.18635
M64          1    15.44428
M65          1    15.54332
M66          1    15.85996
M67          1    16.55377
M68          1    16.73276
M69          1    16.74331
M70          1    17.17326
M71          1    17.54932
M72          1    18.06115
M73          1    18.85792
M74          1    18.87630
M75          1    19.06376
M76          1    19.11537
M77          1    19.55234
M78          1    20.00706
M79          1    20.72180
M80          1    21.09873
M81          1    21.11903
M82          1    21.46950
M83          1    23.64960
M84          1    23.79433
M85          1    24.23669
M86          1    24.30724
M87          1    24.41119
M88          1    24.44177
M89          1    24.50792
M90          1    25.08929
M91          1    25.27493
M92          1    25.27609
M93          1    25.94454
M94          1    27.21208
M95          1    27.73085
M96          1    27.84257
M97          1    28.66771
M98          1    29.58596
M99          1    30.50216
M100         1    30.58911
M101         1    30.69262
M102         1    30.77333
