ID          Chr    Position
M1           1     0.22575
M2           1     0.25376
M3           1     0.60159
M4           1     2.25508
M5           1     3.15653
M6           1     3.83649
M7           1     3.89449
M8           1     6.05832
M9           1     6.09213
M10          1     6.27849
M11          1     6.28687
M12          1     6.52089
M13          1     6.60739
M14          1     7.10937
M15          1     7.24075
M16          1     7.64678
M17          1     8.22934
M18          1     9.08880
M19          1     9.65058
M20          1     9.76496
M21          1    10.32445
M22          1    10.80470
M23          1    11.00544
M24          1    11.25630
M25          1    11.53522
M26          1    11.57647
M27          1    12.19074
M28          1    12.37089
M29          1    12.45910
M30          1    12.51146
M31          1    13.84344
M32          1    14.09999
M33          1    14.58301
M34          1    14.85152
M35          1    15.28642
M36          1    15.68010
M37          1    15.93093
M38          1    16.11945
M39          1    16.60516
M40          1    16.85932
M41          1    17.19101
M42          1    21.15285
M43          1    21.69239
M44          1    21.83110
M45          1    22.74562
M46          1    23.37337
M47          1    23.84695
M48          1    24.76820
M49          1    24.90916
M50          1    25.37226
M51          1    25.79177
M52          1    26.43512
M53          1    26.82200
M54          1    27.13530
M55          1    27.42178
M56          1    27.66326
M57          1    27.88752
M58          1    28.40498
M59          1    29.74530
M60          1    29.85712
M61          1    30.33073
M62          1    30.90612
M63          1    31.17147
M64          1    31.48976
M65          1    32.31460
M66          1    33.04258
M67          1    34.07263
M68          1    34.44835
M69          1    34.68631
M70          1    35.12336
M71          1    35.31912
M72          1    35.33073
M73          1    35.35172
M74          1    35.61850
M75          1    36.04453
M76          1    36.42664
M77          1    36.65460
M78          1    36.65997
M79          1    37.34021
M80          1    37.92250
M81          1    38.12001
M82          1    38.46429
M83          1    39.03392
M84          1    39.39672
M85          1    39.65728
M86          1    40.15065
M87          1    40.43419
M88          1    42.85453
M89          1    43.00066
M90          1    43.78525
M91          1    45.29701
M92          1    45.53854
M93          1    46.35285
M94          1    46.45054
M95          1    48.79006
M96          1    49.19803
M97          1    49.48328
M98          1    51.08604
M99          1    51.22878
M100         1    52.16226
M101         1    52.66195
M102         1    52.69411
M103         1    53.20103
M104         1    53.80515
M105         1    53.84963
M106         1    54.43503
M107         1    54.46011
M108         1    56.05891
M109         1    58.25780
M110         1    58.82195
