ID          Chr    Position
Q1           1     1.01094
Q2           1     4.99738
Q3           1    14.52092
Q4           1    19.74606
Q5           1    21.01728
Q6           1    27.94194
Q7           1    31.05299
Q8           1    42.77039
Q9           1    46.91051
Q10          1    49.91588
Q11          1    53.75491
Q12          1    70.24099
Q13          1    74.91619
Q14          1    77.24569
Q15          1    79.05690
Q16          1    95.04944
Q17          1    98.44981
Q18          2     3.44248
Q19          2     6.22744
Q20          2     9.81807
Q21          2    13.68160
Q22          2    28.50718
Q23          2    31.21996
Q24          2    35.56375
Q25          2    49.49353
Q26          2    50.28915
Q27          2    53.88659
Q28          2    59.25048
Q29          2    68.06140
Q30          2    71.00265
Q31          2    86.22183
Q32          2    86.30119
Q33          2    88.08741
Q34          2    94.56530
Q35          2    96.60010
Q36          3     0.71017
Q37          3     6.29894
Q38          3     7.65396
Q39          3     8.60416
Q40          3    14.15559
Q41          3    14.44437
Q42          3    14.79487
Q43          3    17.59844
Q44          3    19.14931
Q45          3    24.48829
Q46          3    31.52020
Q47          3    43.99347
Q48          3    45.74358
Q49          3    48.45118
Q50          3    51.20527
Q51          3    55.03705
Q52          3    58.16126
Q53          3    60.28199
Q54          3    62.19430
Q55          3    73.84916
Q56          3    76.67901
Q57          3    80.17429
Q58          3    80.38293
Q59          3    86.78352
Q60          3    94.87804
Q61          3    96.09561
Q62          3    96.66998
Q63          3    99.45292
Q64          4     1.85620
Q65          4     6.36061
Q66          4     9.08857
Q67          4    16.33435
Q68          4    21.00533
Q69          4    31.31626
Q70          4    36.19512
Q71          4    38.91893
Q72          4    39.12000
Q73          4    44.45616
Q74          4    44.94084
Q75          4    47.71400
Q76          4    48.67268
Q77          4    49.19080
Q78          4    55.62456
Q79          4    58.03488
Q80          4    66.49853
Q81          4    66.95499
Q82          4    74.89492
Q83          4    86.75997
Q84          4    94.19341
Q85          4    97.62184
Q86          5     0.32551
Q87          5     1.53384
Q88          5     4.40575
Q89          5     7.63101
Q90          5     9.86334
Q91          5    20.09455
Q92          5    23.02018
Q93          5    25.31527
Q94          5    25.39760
Q95          5    26.61112
Q96          5    34.13676
Q97          5    34.48261
Q98          5    34.94447
Q99          5    44.72139
Q100         5    47.44176
Q101         5    48.63107
Q102         5    48.83912
Q103         5    57.24187
Q104         5    69.75472
Q105         5    71.58441
Q106         5    72.08432
Q107         5    72.35816
Q108         5    74.99985
Q109         5    78.74325
Q110         5    81.05020
Q111         5    84.42162
Q112         5    86.09872
Q113         5    89.23676
Q114         5    91.64823
Q115         6     0.44481
Q116         6     2.10919
Q117         6     3.53762
Q118         6     5.28737
Q119         6     7.43094
Q120         6     8.42451
Q121         6    22.02766
Q122         6    26.24717
Q123         6    27.94617
Q124         6    50.34713
Q125         6    50.68448
Q126         6    65.87433
Q127         6    69.87653
Q128         6    71.16615
Q129         6    74.50801
Q130         6    80.15912
Q131         6    82.60207
Q132         6    82.63491
Q133         6    87.78655
Q134         6    95.76228
Q135         7     3.25316
Q136         7     3.32847
Q137         7     3.97844
Q138         7     9.52754
Q139         7    12.02754
Q140         7    22.52189
Q141         7    27.47023
Q142         7    28.08647
Q143         7    41.79350
Q144         7    41.95970
Q145         7    49.78350
Q146         7    53.76841
Q147         7    57.84501
Q148         7    64.36380
Q149         7    74.35666
Q150         7    79.92199
Q151         7    92.91028
Q152         8     8.23590
Q153         8     8.57287
Q154         8    13.24146
Q155         8    17.96297
Q156         8    22.52620
Q157         8    24.01886
Q158         8    29.34878
Q159         8    31.70827
Q160         8    36.11582
Q161         8    37.25124
Q162         8    38.49877
Q163         8    46.05596
Q164         8    56.92301
Q165         8    72.06229
Q166         8    72.69176
Q167         8    72.79488
Q168         8    86.97250
Q169         8    90.79568
Q170         8    93.50633
Q171         8    94.85969
Q172         8    98.24838
Q173         9     2.33303
Q174         9     4.12147
Q175         9    10.12123
Q176         9    18.61229
Q177         9    19.08345
Q178         9    19.99351
Q179         9    28.65991
Q180         9    30.22272
Q181         9    32.55396
Q182         9    37.92849
Q183         9    38.59836
Q184         9    42.45557
Q185         9    48.47857
Q186         9    51.00636
Q187         9    52.07662
Q188         9    52.53078
Q189         9    52.57536
Q190         9    59.90154
Q191         9    62.51568
Q192         9    64.73743
Q193         9    74.25957
Q194         9    83.92200
Q195         9    86.51361
Q196         9    87.85410
Q197         9    89.33410
Q198         9    93.41240
Q199         9    99.91183
Q200        10     1.07681
Q201        10     1.51765
Q202        10     3.10174
Q203        10     3.34870
Q204        10     7.18531
Q205        10    10.06202
Q206        10    15.60120
Q207        10    21.95800
Q208        10    48.18458
Q209        10    52.81116
Q210        10    54.33614
Q211        10    56.43051
Q212        10    56.77810
Q213        10    59.40375
Q214        10    60.31941
Q215        10    61.45600
Q216        10    66.68211
Q217        10    74.32118
Q218        10    75.09416
Q219        10    78.70508
Q220        10    87.60423
Q221        10    89.99978
Q222        10    93.03562
Q223        10    95.67961
Q224        10    99.59288
Q225        11     7.96705
Q226        11    13.57923
Q227        11    15.44032
Q228        11    19.20972
Q229        11    20.83151
Q230        11    21.08640
Q231        11    26.37784
Q232        11    26.77662
Q233        11    33.19038
Q234        11    36.37482
Q235        11    41.00843
Q236        11    43.14315
Q237        11    45.63444
Q238        11    46.41315
Q239        11    46.56131
Q240        11    47.37093
Q241        11    48.12305
Q242        11    51.68176
Q243        11    52.81521
Q244        11    56.37965
Q245        11    56.59394
Q246        11    57.52359
Q247        11    57.77482
Q248        11    64.60275
Q249        11    65.67564
Q250        11    66.17219
Q251        11    69.84897
Q252        11    73.17102
Q253        11    75.05016
Q254        11    76.52310
Q255        11    80.60254
Q256        11    89.54989
Q257        11    95.94603
Q258        12     0.46390
Q259        12    14.24186
Q260        12    16.26346
Q261        12    19.02473
Q262        12    34.63569
Q263        12    37.95548
Q264        12    38.63448
Q265        12    40.64288
Q266        12    43.99467
Q267        12    45.86937
Q268        12    46.25078
Q269        12    48.06637
Q270        12    51.13873
Q271        12    51.57957
Q272        12    52.50791
Q273        12    60.15416
Q274        12    61.77767
Q275        12    64.83989
Q276        12    68.90302
Q277        12    71.16916
Q278        12    71.72302
Q279        12    73.86065
Q280        12    83.69408
Q281        12    86.48338
Q282        12    87.80035
Q283        12    93.07886
Q284        12    93.11620
Q285        12    95.04583
Q286        12    95.89816
Q287        12    99.35803
Q288        13     3.63396
Q289        13     3.68694
Q290        13     8.76226
Q291        13     9.13106
Q292        13    10.23303
Q293        13    14.22613
Q294        13    22.01587
Q295        13    35.17002
Q296        13    36.28253
Q297        13    36.40880
Q298        13    58.16772
Q299        13    60.12232
Q300        13    75.64490
Q301        13    76.18446
Q302        13    76.97831
Q303        13    79.17795
Q304        13    80.98092
Q305        13    84.16033
Q306        13    85.88774
Q307        13    87.95530
Q308        13    94.29586
Q309        13    97.24746
Q310        13    99.37661
Q311        14     1.73444
Q312        14    11.07345
Q313        14    23.17429
Q314        14    25.56006
Q315        14    27.23703
Q316        14    28.13616
Q317        14    29.41964
Q318        14    35.88719
Q319        14    39.93034
Q320        14    45.71930
Q321        14    49.01581
Q322        14    50.96740
Q323        14    53.40306
Q324        14    55.61672
Q325        14    60.66676
Q326        14    64.16762
Q327        14    64.58631
Q328        14    66.33963
Q329        14    79.11877
Q330        14    81.99359
Q331        14    83.95502
Q332        14    85.32759
Q333        14    86.02457
Q334        14    86.88192
