ID          Chr   Input_Pos    Male_Map  Female_Map
Q1           1    34.60866    34.60866    43.26082
Q2           1    80.88129    80.88129   101.10161
Q3           2     0.25986     0.25986     0.32483
Q4           2     0.41688     0.41688     0.52110
Q5           3    81.98881    81.98881   102.48601
Q6           3    85.93646    85.93646   107.42057
Q7           4    14.91815    14.91815    18.64769
Q8           4    16.59185    16.59185    20.73981
Q9           5    48.15324    48.15324    60.19155
Q10          5    63.82802    63.82802    79.78503
Q11          6    28.67729    28.67729    35.84661
Q12          6    57.84403    57.84403    72.30504
Q13          7     0.25952     0.25952     0.32440
Q14          7    57.98398    57.98398    72.47997
Q15          8    78.77682    78.77682    98.47102
Q16          8    81.44921    81.44921   101.81151
Q17          9    68.25043    68.25043    85.31304
Q18          9    72.24905    72.24905    90.31131
Q19         10    21.29702    21.29702    26.62128
Q20         10    72.64063    72.64063    90.80079
Q21         11    35.59183    35.59183    44.48979
Q22         11    56.33368    56.33368    70.41710
Q23         12    66.72339    66.72339    83.40424
Q24         12    94.94930    94.94930   118.68663
Q25         13    36.74039    36.74039    45.92549
Q26         13    58.75497    58.75497    73.44371
Q27         14    30.94761    30.94761    38.68451
Q28         14    84.21527    84.21527   105.26909
Q29         15     3.43551     3.43551     4.29439
Q30         15    94.68492    94.68492   118.35615
Q31         16     9.41490     9.41490    11.76863
Q32         16    43.32754    43.32754    54.15943
Q33         17    19.78472    19.78472    24.73090
Q34         17    75.15376    75.15376    93.94220
Q35         18    29.70190    29.70190    37.12738
Q36         18    51.44490    51.44490    64.30613
Q37         19    42.76291    42.76291    53.45364
Q38         19    63.72369    63.72369    79.65461
Q39         20    16.31865    16.31865    20.39831
Q40         20    88.19742    88.19742   110.24678
Q41         21    26.08114    26.08114    32.60142
Q42         21    86.61877    86.61877   108.27346
Q43         22    28.11182    28.11182    35.13978
Q44         22    60.16901    60.16901    75.21126
Q45         23     8.01301     8.01301    10.01626
Q46         23    27.98471    27.98471    34.98089
Q47         24    10.21216    10.21216    12.76520
Q48         24    62.23038    62.23038    77.78798
Q49         25    23.24338    23.24338    29.05422
Q50         25    90.86718    90.86718   113.58398
Q51         26    38.25363    38.25363    47.81704
Q52         26    73.52957    73.52957    91.91196
Q53         27    79.79059    79.79059    99.73824
Q54         27    94.91113    94.91113   118.63891
Q55         28    14.54720    14.54720    18.18400
Q56         28    78.18481    78.18481    97.73101
Q57         29    12.38054    12.38054    15.47567
Q58         29    69.94119    69.94119    87.42649
Q59         30    43.60613    43.60613    54.50766
Q60         30    50.77017    50.77017    63.46271
